"StrategyName"	"UD_EffectsL"	"UD_EffectsQ"	"UD_Costs"	"D_EffectsL"	"D_EffectsQ"	"D_Costs"	"ICER_L"	"ICER_Q"
"65_100_7"	7985774.02339559	7960687.30572501	117064100	1936651.99172998	1935707.2789681	5900523.59	"SD"	"SD"
"70_75_1"	7984245.43440762	7959730.21923103	140072300	1936620.03651383	1935685.35946772	6582796.62	"SD"	"SD"
"70_75_5"	7983332.99402971	7959641.14804207	104711400	1936603.2635671	1935687.77322876	5538638.18	"SD"	"SD"
"70_80_1"	7985535.29129537	7959977.6466749	176300400	1936638.75921599	1935685.6952857	7421709.83	"SD"	"SD"
"70_80_2"	7985088.29833289	7960179.45819366	134583600	1936630.83109446	1935692.98689594	6315674.33	"SD"	"SD"
"70_80_5"	7983954.66363634	7959871.64084539	110602600	1936611.55856905	1935690.23136533	5672408.42	"SD"	"SD"
"70_80_10"	7983252.79530808	7959611.71268126	103036000	1936600.12724065	1935686.95190413	5462537.42	"SD"	"SD"
"70_85_1"	7986200.44368005	7960007.93786724	204493900	1936647.16305314	1935684.53483818	7928085.54	"SD"	"SD"
"70_85_3"	7984965.21924989	7960158.82565216	130001900	1936626.33050163	1935692.78444622	6112746.56	"SD"	"SD"
"70_85_5"	7984199.36404726	7959934.28805084	115575900	1936614.37211489	1935690.67269985	5755904.56	"SD"	"SD"
"70_90_1"	7986445.25700971	7959942.17153207	222040200	1936649.71849558	1935683.1805766	8176215.52	"SD"	"SD"
"70_90_2"	7985775.63297654	7960278.34051548	156284100	1936639.05372976	1935693.17729359	6671005.53	"SD"	"SD"
"70_90_4"	7984676.64469446	7960071.61837445	124215900	1936621.25381793	1935692.13998367	5929328.23	"SD"	"SD"
"70_90_5"	7984274.68341463	7959939.40073453	118272600	1936615.09711834	1935690.62350978	5791145.64	"SD"	"SD"
"70_90_10"	7983346.19537738	7959623.8477159	105772500	1936601.02778301	1935686.96251731	5498926.02	"SD"	"SD"
"70_95_1"	7986483.41724281	7959870.91664862	230712700	1936650.06774661	1935682.36350811	8271951.42	"SD"	"SD"
"70_95_5"	7984280.1925735	7959929.05331396	119482800	1936615.14321706	1935690.51827274	5803150.58	"SD"	"SD"
"70_100_1"	7986483.41724281	7959849.06564862	232909800	1936650.06774661	1935682.17120171	8291291.66	"SD"	"SD"
"70_100_2"	7985806.46248511	7960241.42926977	161247700	1936639.33749726	1935692.77612214	6722779.45	"SD"	"SD"
"70_100_3"	7985106.38734957	7960136.337702	138390100	1936627.72172524	1935692.33968053	6216916.71	"SD"	"SD"
"70_100_5"	7984280.1925735	7959929.05331396	119482800	1936615.14321706	1935690.51827274	5803150.58	"SD"	"SD"
"70_100_6"	7984160.39986366	7959919.20495905	115365000	1936613.12935929	1935690.63142655	5706732.91	"SD"	"SD"
"70_100_10"	7983346.19537738	7959623.8477159	105772500	1936601.02778301	1935686.96251731	5498926.02	"SD"	"SD"
"75_80_1"	7982859.02124526	7959111.28564985	133251000	1936588.4796733	1935675.01095106	6090526.16	"SD"	"SD"
"75_80_5"	7982132.93289681	7959065.76947562	102934200	1936577.13061381	1935676.68301651	5385567.64	"SD"	"SD"
"75_85_1"	7983524.17362994	7959141.57684219	161444500	1936596.88351046	1935673.85050354	6596901.87	"SD"	"SD"
"75_85_2"	7983054.18533594	7959253.20469519	127625300	1936589.77468542	1935677.54488692	5888038.98	"SD"	"SD"
"75_85_5"	7982377.63330772	7959128.41668108	107907500	1936579.94415965	1935677.12435103	5469063.78	"SD"	"SD"
"75_85_10"	7981827.2686495	7958930.75335197	101871600	1936572.45780381	1935675.01764511	5334849.28	"SD"	"SD"
"75_90_1"	7983768.9869596	7959075.81050702	178990800	1936599.43895289	1935672.49624195	6845031.85	"SD"	"SD"
"75_90_3"	7982857.05329698	7959213.93167571	121460000	1936586.52804671	1935677.62435186	5720191.25	"SD"	"SD"
"75_90_5"	7982452.95267509	7959133.52936476	110604200	1936580.6691631	1935677.07516096	5504304.86	"SD"	"SD"
"75_95_1"	7983807.1471927	7959004.55562357	187663300	1936599.78820392	1935671.67917347	6940767.75	"SD"	"SD"
"75_95_2"	7983269.52365271	7959225.46885357	139879800	1936591.92279338	1935676.8951047	6046307.8	"SD"	"SD"
"75_95_4"	7982624.6995182	7959156.83178631	116267300	1936582.9767224	1935677.18685881	5599595.14	"SD"	"SD"
"75_95_5"	7982458.46183396	7959123.1819442	111814400	1936580.71526182	1935676.96992392	5516309.8	"SD"	"SD"
"75_95_10"	7981837.69468981	7958921.88937212	103128300	1936572.54616541	1935674.92370401	5347389.27	"SD"	"SD"
"75_100_1"	7983807.1471927	7958982.70462357	189860400	1936599.78820392	1935671.48686707	6960107.99	"SD"	"SD"
